clientes,cliente_id,repeticao,operacao,metodo,rota,codigo_status,sucesso,latencia_ms
1,1,1,CRIAR,POST,/produtos,201,True,48.97
1,1,1,LISTAR,GET,/produtos,200,True,2.36
1,1,1,CONSULTAR,GET,/produtos/{id},200,True,1.65
1,1,1,ATUALIZAR,PUT,/produtos/{id},200,True,2.4
1,1,1,EXCLUIR,DELETE,/produtos/{id},204,True,1.73
1,1,2,CRIAR,POST,/produtos,201,True,2.38
1,1,2,LISTAR,GET,/produtos,200,True,1.81
1,1,2,CONSULTAR,GET,/produtos/{id},200,True,1.37
1,1,2,ATUALIZAR,PUT,/produtos/{id},200,True,1.89
1,1,2,EXCLUIR,DELETE,/produtos/{id},204,True,2.0
1,1,3,CRIAR,POST,/produtos,201,True,2.12
1,1,3,LISTAR,GET,/produtos,200,True,1.53
1,1,3,CONSULTAR,GET,/produtos/{id},200,True,1.31
1,1,3,ATUALIZAR,PUT,/produtos/{id},200,True,1.83
1,1,3,EXCLUIR,DELETE,/produtos/{id},204,True,1.82
1,1,4,CRIAR,POST,/produtos,201,True,2.07
1,1,4,LISTAR,GET,/produtos,200,True,1.9
1,1,4,CONSULTAR,GET,/produtos/{id},200,True,2.03
1,1,4,ATUALIZAR,PUT,/produtos/{id},200,True,1.95
1,1,4,EXCLUIR,DELETE,/produtos/{id},204,True,1.64
1,1,5,CRIAR,POST,/produtos,201,True,23.07
1,1,5,LISTAR,GET,/produtos,200,True,10.78
1,1,5,CONSULTAR,GET,/produtos/{id},200,True,19.57
1,1,5,ATUALIZAR,PUT,/produtos/{id},200,True,28.64
1,1,5,EXCLUIR,DELETE,/produtos/{id},204,True,14.88
1,1,6,CRIAR,POST,/produtos,201,True,2.33
1,1,6,LISTAR,GET,/produtos,200,True,1.35
1,1,6,CONSULTAR,GET,/produtos/{id},200,True,1.36
1,1,6,ATUALIZAR,PUT,/produtos/{id},200,True,1.54
1,1,6,EXCLUIR,DELETE,/produtos/{id},204,True,1.36
1,1,7,CRIAR,POST,/produtos,201,True,2.58
1,1,7,LISTAR,GET,/produtos,200,True,1.92
1,1,7,CONSULTAR,GET,/produtos/{id},200,True,1.4
1,1,7,ATUALIZAR,PUT,/produtos/{id},200,True,1.51
1,1,7,EXCLUIR,DELETE,/produtos/{id},204,True,1.58
1,1,8,CRIAR,POST,/produtos,201,True,2.17
1,1,8,LISTAR,GET,/produtos,200,True,1.55
1,1,8,CONSULTAR,GET,/produtos/{id},200,True,1.45
1,1,8,ATUALIZAR,PUT,/produtos/{id},200,True,2.07
1,1,8,EXCLUIR,DELETE,/produtos/{id},204,True,2.08
1,1,9,CRIAR,POST,/produtos,201,True,2.28
1,1,9,LISTAR,GET,/produtos,200,True,1.5
1,1,9,CONSULTAR,GET,/produtos/{id},200,True,1.39
1,1,9,ATUALIZAR,PUT,/produtos/{id},200,True,1.6
1,1,9,EXCLUIR,DELETE,/produtos/{id},204,True,1.71
1,1,10,CRIAR,POST,/produtos,201,True,2.06
1,1,10,LISTAR,GET,/produtos,200,True,1.67
1,1,10,CONSULTAR,GET,/produtos/{id},200,True,1.8
1,1,10,ATUALIZAR,PUT,/produtos/{id},200,True,1.95
1,1,10,EXCLUIR,DELETE,/produtos/{id},204,True,1.62
5,4,1,CRIAR,POST,/produtos,201,True,10.14
5,4,1,LISTAR,GET,/produtos,200,True,4.29
5,4,1,CONSULTAR,GET,/produtos/{id},200,True,4.22
5,4,1,ATUALIZAR,PUT,/produtos/{id},200,True,3.84
5,4,1,EXCLUIR,DELETE,/produtos/{id},204,True,3.53
5,2,1,CRIAR,POST,/produtos,201,True,9.94
5,2,1,LISTAR,GET,/produtos,200,True,4.91
5,2,1,CONSULTAR,GET,/produtos/{id},200,True,4.29
5,2,1,ATUALIZAR,PUT,/produtos/{id},200,True,4.9
5,2,1,EXCLUIR,DELETE,/produtos/{id},204,True,3.72
